,0
Follicle No. (L),0.23637767633623996
Follicle No. (R),0.22250778042152985
Weight gain(Y/N),0.11924269134568855
hair growth(Y/N),0.1108455087211524
Skin darkening (Y/N),0.0923727873010518
AMH(ng/mL),0.07578980630004106
Cycle(R/I),0.07262405876835176
PRL(ng/mL),0.0647458388776494
Fast food (Y/N),0.0636665590685157
FSH/LH,0.06356854537044909
Hip(inch),0.058175997469310126
Weight (Kg),0.05742216719986981
Cycle length(days),0.05579457594045367
TSH (mIU/L),0.04191058334081288
BP _Systolic (mmHg),0.04157896772270475
Reg.Exercise(Y/N),0.03304256463411592
FSH(mIU/mL),0.03271879592281768
LH(mIU/mL),0.029390395926725876
Pimples(Y/N),0.024941704081923755
Endometrium (mm),0.02207453790730529
Vit D3 (ng/mL),0.020172755380402974
Waist:Hip Ratio,0.018014517298296173
Pulse rate(bpm),0.01565750420337464
BMI,0.01495397364467066
Hair loss(Y/N),0.013052569227151256
Waist(inch),0.008292894202031942
PRG(ng/mL),0.004620694157385641
Avg. F size (L) (mm),0.0004569690677889149
Age (yrs),0.0
Height(Cm),0.0
RR (breaths/min),0.0
Hb(g/dl),0.0
RBS(mg/dl),0.0
BP _Diastolic (mmHg),0.0
Avg. F size (R) (mm),0.0
